node_id,t,budget,K,ep_utility,ac_utility
4,9,4800,14,0,0
4,10,4800,14,0,0
4,11,4800,14,0,0
4,12,4800,14,0,0
4,1,4800,15,60,24
4,2,4800,15,60,40
4,3,4800,15,60,48
4,4,4800,15,60,53
4,5,4800,15,60,55
4,6,4800,15,60,57
4,7,4800,15,60,46
4,8,4800,15,7.1712055352037405,4
4,9,4800,15,0,0
4,10,4800,15,0,0
4,11,4800,15,0,0
4,12,4800,15,0,0
4,1,5400,5,51.21600000000001,5
4,2,5400,5,53.77114769377326,15
4,3,5400,5,53.795894030975695,20
4,4,5400,5,53.77114769377326,27
4,5,5400,5,53.73729864348139,29
4,6,5400,5,53.702177542491604,31
4,7,5400,5,53.66794316633661,32
4,8,5400,5,53.63523321122245,34
4,9,5400,5,53.60418788210574,34
4,10,5400,5,53.57477004377179,34
4,11,5400,5,53.54688030413069,35
4,12,5400,5,53.52040180573356,35
4,1,5400,6,60,14
4,2,5400,6,60,28
4,3,5400,6,60,36
4,4,5400,6,60,39
4,5,5400,6,60,39
4,6,5400,6,60,40
4,7,5400,6,60,41
4,8,5400,6,60,41
4,9,5400,6,60,41
4,10,5400,6,60,41
4,11,5400,6,60,41
4,12,5400,6,60,41
4,1,5400,7,60,17
4,2,5400,7,60,24
4,3,5400,7,60,28
4,4,5400,7,60,33
4,5,5400,7,60,37
4,6,5400,7,60,39
4,7,5400,7,60,40
4,8,5400,7,60,42
4,9,5400,7,60,42
4,10,5400,7,60,42
4,11,5400,7,60,42
4,12,5400,7,60,42
4,1,5400,8,60,13
4,2,5400,8,60,26
4,3,5400,8,60,35
4,4,5400,8,60,40
4,5,5400,8,60,45
4,6,5400,8,60,47
4,7,5400,8,60,47
4,8,5400,8,60,48
4,9,5400,8,60,48
4,10,5400,8,60,48
4,11,5400,8,60,48
4,12,5400,8,60,48
4,1,5400,9,60,17
4,2,5400,9,60,36
4,3,5400,9,60,42
4,4,5400,9,60,43
4,5,5400,9,60,49
4,6,5400,9,60,49
4,7,5400,9,60,47
4,8,5400,9,60,52
4,9,5400,9,60,49
4,10,5400,9,60,52
4,11,5400,9,60,52
4,12,5400,9,60,49
4,1,5400,10,60,17
4,2,5400,10,60,33
4,3,5400,10,60,42
4,4,5400,10,60,44
4,5,5400,10,60,48
4,6,5400,10,60,50
4,7,5400,10,60,52
4,8,5400,10,60,52
4,9,5400,10,60,52
4,10,5400,10,60,53
4,11,5400,10,60,53
4,12,5400,10,60,52
4,1,5400,11,60,32
4,2,5400,11,60,39
4,3,5400,11,60,46
4,4,5400,11,60,50
4,5,5400,11,60,50
4,6,5400,11,60,54
4,7,5400,11,60,56
4,8,5400,11,60,56
4,9,5400,11,60,56
4,10,5400,11,60,57
4,11,5400,11,60,55
4,12,5400,11,0,0
4,1,5400,12,60,26
4,2,5400,12,60,40
4,3,5400,12,60,48
4,4,5400,12,60,53
4,5,5400,12,60,55
4,6,5400,12,60,56
4,7,5400,12,60,56
4,8,5400,12,60,57
4,9,5400,12,60,58
4,10,5400,12,60,58
4,11,5400,12,9.868480050688452,6
4,12,5400,12,0,0
4,1,5400,13,60,34
4,2,5400,13,60,43
4,3,5400,13,60,49
4,4,5400,13,60,52
4,5,5400,13,60,56
4,6,5400,13,60,56
4,7,5400,13,60,56
4,8,5400,13,60,57
4,9,5400,13,60,57
4,10,5400,13,60,53
4,11,5400,13,0,0
4,12,5400,13,0,0
4,1,5400,14,60,31
4,2,5400,14,60,44
4,3,5400,14,60,51
4,4,5400,14,60,57
4,5,5400,14,60,59
4,6,5400,14,60,59
4,7,5400,14,60,59
4,8,5400,14,60,59
4,9,5400,14,60,40
4,10,5400,14,8.673128340628628,6
4,11,5400,14,0,0
4,12,5400,14,0,0
4,1,5400,15,60,29
4,2,5400,15,60,45
4,3,5400,15,60,52
4,4,5400,15,60,58
4,5,5400,15,60,60
4,6,5400,15,60,60
4,7,5400,15,60,60
4,8,5400,15,60,60
4,9,5400,15,26.58609394105288,18
4,10,5400,15,0,0
4,11,5400,15,0,0
4,12,5400,15,0,0
4,1,6000,5,52.27200000000001,13
4,2,6000,5,54.861801883953355,20
4,3,6000,5,54.88004051556816,23
4,4,6000,5,54.861801883953355,24
4,5,6000,5,54.829678267211904,24
4,6,6000,5,54.79526548364371,29
4,7,6000,5,54.76539363687203,30
4,8,6000,5,53.864559422161754,29
4,9,6000,5,54.708285391509854,33
4,10,6000,5,54.68401249763303,31
4,11,6000,5,54.65154165500787,35
4,12,6000,5,54.63127110182325,33
4,1,6000,6,60,17
4,2,6000,6,60,25
4,3,6000,6,60,31
4,4,6000,6,60,35
4,5,6000,6,60,37
4,6,6000,6,60,37
4,7,6000,6,60,35
4,8,6000,6,60,40
4,9,6000,6,60,40
4,10,6000,6,60,41
4,11,6000,6,60,41
4,12,6000,6,60,39
4,1,6000,7,60,22
4,2,6000,7,60,30
4,3,6000,7,60,31
4,4,6000,7,60,33
4,5,6000,7,60,33
4,6,6000,7,60,35
4,7,6000,7,60,41
4,8,6000,7,60,42
4,9,6000,7,60,45
4,10,6000,7,60,46
4,11,6000,7,60,47
4,12,6000,7,60,45
4,1,6000,8,60,16
4,2,6000,8,60,27
4,3,6000,8,60,35
4,4,6000,8,60,39
4,5,6000,8,60,41
4,6,6000,8,60,44
4,7,6000,8,60,46
4,8,6000,8,60,47
4,9,6000,8,60,50
4,10,6000,8,60,51
4,11,6000,8,60,51
4,12,6000,8,60,51
4,1,6000,9,60,13
4,2,6000,9,60,27
4,3,6000,9,60,33
4,4,6000,9,60,36
4,5,6000,9,60,40
4,6,6000,9,60,45
4,7,6000,9,60,48
4,8,6000,9,60,49
4,9,6000,9,60,49
4,10,6000,9,60,49
4,11,6000,9,60,49
4,12,6000,9,60,50
4,1,6000,10,60,20
4,2,6000,10,60,35
4,3,6000,10,60,42
4,4,6000,10,60,45
4,5,6000,10,60,46
4,6,6000,10,60,48
4,7,6000,10,60,48
4,8,6000,10,60,48
4,9,6000,10,60,48
4,10,6000,10,60,48
4,11,6000,10,60,50
4,12,6000,10,60,50
4,1,6000,11,60,28
4,2,6000,11,60,39
4,3,6000,11,60,47
4,4,6000,11,60,50
4,5,6000,11,60,51
4,6,6000,11,60,53
4,7,6000,11,60,54
4,8,6000,11,60,55
4,9,6000,11,60,55
4,10,6000,11,60,55
4,11,6000,11,60,55
4,12,6000,11,60,55
4,1,6000,12,60,19
4,2,6000,12,60,36
4,3,6000,12,60,48
4,4,6000,12,60,52
4,5,6000,12,60,57
4,6,6000,12,60,58
4,7,6000,12,60,59
4,8,6000,12,60,59
4,9,6000,12,60,58
4,10,6000,12,60,59
4,11,6000,12,58.90810271317569,41
4,12,6000,12,0,0
4,1,6000,13,60,24
4,2,6000,13,60,37
4,3,6000,13,60,48
4,4,6000,13,60,56
4,5,6000,13,60,59
4,6,6000,13,60,60
4,7,6000,13,60,60
4,8,6000,13,60,60
4,9,6000,13,60,60
4,10,6000,13,60,60
4,11,6000,13,60,41
4,12,6000,13,0,0
4,1,6000,14,60,22
4,2,6000,14,60,32
4,3,6000,14,60,43
4,4,6000,14,60,51
4,5,6000,14,60,55
4,6,6000,14,60,55
4,7,6000,14,60,57
4,8,6000,14,60,58
4,9,6000,14,60,58
4,10,6000,14,60,58
4,11,6000,14,9.472480050688448,6
4,12,6000,14,0,0
4,1,6000,15,60,35
4,2,6000,15,60,47
4,3,6000,15,60,50
4,4,6000,15,60,55
4,5,6000,15,60,58
4,6,6000,15,60,58
4,7,6000,15,60,59
4,8,6000,15,60,59
4,9,6000,15,60,59
4,10,6000,15,60,39
4,11,6000,15,0,0
4,12,6000,15,0,0
4,1,6600,5,54.52799999999999,17
4,2,6600,5,57.08314769377327,22
4,3,6600,5,57.10789403097571,30
4,4,6600,5,57.08314769377327,32
4,5,6600,5,57.04929864348137,33
4,6,6600,5,57.01417754249163,35
4,7,6600,5,56.97994316633663,35
4,8,6600,5,56.94723321122246,36
4,9,6600,5,56.91618788210575,36
4,10,6600,5,56.886770043771776,36
4,11,6600,5,56.8588803041307,36
4,12,6600,5,56.83240180573353,36
4,1,6600,6,60,17
4,2,6600,6,60,26
4,3,6600,6,60,32
4,4,6600,6,60,35
4,5,6600,6,60,37
4,6,6600,6,60,39
4,7,6600,6,60,41
4,8,6600,6,60,41
4,9,6600,6,60,41
4,10,6600,6,60,41
4,11,6600,6,60,41
4,12,6600,6,60,41
4,1,6600,7,60,17
4,2,6600,7,60,29
4,3,6600,7,60,32
4,4,6600,7,60,32
4,5,6600,7,60,36
4,6,6600,7,60,37
4,7,6600,7,60,35
4,8,6600,7,60,40
4,9,6600,7,60,40
4,10,6600,7,60,41
4,11,6600,7,60,41
4,12,6600,7,60,41
4,1,6600,8,60,16
4,2,6600,8,60,24
4,3,6600,8,60,34
4,4,6600,8,60,39
4,5,6600,8,60,42
4,6,6600,8,60,42
4,7,6600,8,60,44
4,8,6600,8,60,45
4,9,6600,8,60,46
4,10,6600,8,60,47
4,11,6600,8,60,47
4,12,6600,8,60,47
4,1,6600,9,60,17
4,2,6600,9,60,22
4,3,6600,9,60,34
4,4,6600,9,60,41
4,5,6600,9,60,43
4,6,6600,9,60,48
4,7,6600,9,60,49
4,8,6600,9,60,51
4,9,6600,9,60,52
4,10,6600,9,60,52
4,11,6600,9,60,52
4,12,6600,9,60,52
4,1,6600,10,60,18
4,2,6600,10,60,30
4,3,6600,10,60,36
4,4,6600,10,60,42
4,5,6600,10,60,46
4,6,6600,10,60,49
4,7,6600,10,60,52
4,8,6600,10,60,52
4,9,6600,10,60,53
4,10,6600,10,60,54
4,11,6600,10,60,54
4,12,6600,10,60,55
4,1,6600,11,60,21
4,2,6600,11,60,36
4,3,6600,11,60,46
4,4,6600,11,60,51
4,5,6600,11,60,53
4,6,6600,11,60,54
4,7,6600,11,60,57
4,8,6600,11,60,58
4,9,6600,11,60,58
4,10,6600,11,60,58
4,11,6600,11,60,58
4,12,6600,11,60,58
4,1,6600,12,60,25
4,2,6600,12,60,39
4,3,6600,12,60,42
4,4,6600,12,60,48
4,5,6600,12,60,53
4,6,6600,12,60,54
4,7,6600,12,60,55
4,8,6600,12,60,55
4,9,6600,12,60,56
4,10,6600,12,60,56
4,11,6600,12,60,56
4,12,6600,12,60,57
4,1,6600,13,60,23
4,2,6600,13,60,44
4,3,6600,13,60,51
4,4,6600,13,60,56
4,5,6600,13,60,59
4,6,6600,13,60,59
4,7,6600,13,60,59
4,8,6600,13,60,59
4,9,6600,13,60,59
4,10,6600,13,60,59
4,11,6600,13,60,59
4,12,6600,13,60,57
4,1,6600,14,60,20
4,2,6600,14,60,39
4,3,6600,14,60,46
4,4,6600,14,60,55
4,5,6600,14,60,56
4,6,6600,14,60,56
4,7,6600,14,60,56
4,8,6600,14,60,59
4,9,6600,14,60,58
4,10,6600,14,60,58
4,11,6600,14,60,52
4,12,6600,14,8.71206696762226,6
4,1,6600,15,60,28
4,2,6600,15,60,38
4,3,6600,15,60,50
4,4,6600,15,60,55
4,5,6600,15,60,57
4,6,6600,15,60,59
4,7,6600,15,60,60
4,8,6600,15,60,60
4,9,6600,15,60,60
4,10,6600,15,60,60
4,11,6600,15,30.361440152065356,18
4,12,6600,15,0,0
4,1,7200,5,52.77600000000002,12
4,2,7200,5,55.33114769377326,22
4,3,7200,5,55.35589403097571,28
4,4,7200,5,55.33114769377326,28
4,5,7200,5,55.29729864348136,30
4,6,7200,5,55.26217754249163,31
4,7,7200,5,55.22794316633662,32
4,8,7200,5,55.195233211222465,33
4,9,7200,5,55.16418788210575,35
4,10,7200,5,55.13477004377177,35
4,11,7200,5,55.1068803041307,35
4,12,7200,5,55.08040180573354,35
4,1,7200,6,60,19
4,2,7200,6,60,27
4,3,7200,6,60,33
4,4,7200,6,60,37
4,5,7200,6,60,37
4,6,7200,6,60,37
4,7,7200,6,60,38
4,8,7200,6,60,38
4,9,7200,6,60,39
4,10,7200,6,60,39
4,11,7200,6,60,39
4,12,7200,6,60,40
4,1,7200,7,60,14
4,2,7200,7,60,24
4,3,7200,7,60,30
4,4,7200,7,60,36
4,5,7200,7,60,41
4,6,7200,7,60,41
4,7,7200,7,60,42
4,8,7200,7,60,42
4,9,7200,7,60,42
4,10,7200,7,60,43
4,11,7200,7,60,43
4,12,7200,7,60,45
4,1,7200,8,60,18
4,2,7200,8,60,29
4,3,7200,8,60,36
4,4,7200,8,60,43
4,5,7200,8,60,46
4,6,7200,8,60,48
4,7,7200,8,60,50
4,8,7200,8,60,52
4,9,7200,8,60,52
4,10,7200,8,60,52
4,11,7200,8,60,52
4,12,7200,8,60,52
4,1,7200,9,60,17
4,2,7200,9,60,33
4,3,7200,9,60,38
4,4,7200,9,60,42
4,5,7200,9,60,42
4,6,7200,9,60,46
4,7,7200,9,60,49
4,8,7200,9,60,49
4,9,7200,9,60,49
4,10,7200,9,60,49
